Student ID,University ranking,Student's University dropout rate,SOP rating,CGPA,ZIP Code,GRE,Employed,Strong LOR,Have non academic activities,Been abroad
3746.0,30.0,7.73,1.0,7.31,90640.0,317.0,0.0,0.0,0.0,1.0
848.0,49.0,16.59,3.0,6.35,94539.0,297.0,0.0,0.0,0.0,1.0
2556.0,80.0,28.86,2.0,7.12,94143.0,298.0,0.0,0.0,0.0,0.0
3641.0,84.0,32.95,3.0,5.94,95821.0,298.0,1.0,0.0,0.0,0.0
4007.0,80.0,27.5,3.0,5.42,92130.0,296.0,0.0,0.0,0.0,1.0
363.0,80.0,28.86,1.0,7.19,94590.0,297.0,1.0,0.0,0.0,0.0
775.0,75.0,26.82,1.0,5.65,92154.0,291.0,1.0,0.0,0.0,0.0
2956.0,75.0,26.14,3.0,5.75,95518.0,301.0,0.0,0.0,0.0,1.0
4546.0,86.0,30.91,3.0,5.56,90025.0,291.0,0.0,0.0,0.0,1.0
4588.0,44.0,14.55,3.0,6.06,94720.0,291.0,0.0,0.0,0.0,0.0
3205.0,86.0,30.91,2.0,5.85,90095.0,298.0,0.0,0.0,0.0,0.0
1725.0,58.0,20.68,2.0,5.33,90025.0,293.0,0.0,0.0,0.0,1.0
2593.0,80.0,28.18,1.0,6.27,94710.0,293.0,0.0,0.0,0.0,0.0
2366.0,56.0,18.64,2.0,5.29,91311.0,291.0,0.0,0.0,0.0,0.0
4798.0,44.0,14.55,1.0,5.33,94115.0,295.0,0.0,0.0,0.0,0.0
1955.0,60.0,19.32,3.0,6.52,90245.0,300.0,0.0,0.0,0.0,1.0
126.0,86.0,30.23,1.0,6.5,91301.0,292.0,0.0,0.0,0.0,1.0
1469.0,56.0,20.0,2.0,6.46,92129.0,303.0,0.0,0.0,0.0,1.0
361.0,42.0,13.18,1.0,5.98,94539.0,296.0,0.0,0.0,0.0,0.0
3094.0,33.0,9.09,2.0,5.54,90717.0,292.0,1.0,0.0,0.0,0.0
4407.0,68.0,23.41,2.0,5.33,95133.0,292.0,0.0,0.0,0.0,1.0
4248.0,93.0,33.64,2.0,5.04,90210.0,294.0,0.0,0.0,0.0,1.0
4898.0,56.0,18.64,1.0,5.75,91345.0,302.0,0.0,0.0,0.0,0.0
1979.0,44.0,14.55,3.0,5.5,94612.0,297.0,0.0,0.0,1.0,1.0
1516.0,73.0,26.14,3.0,5.42,94305.0,297.0,1.0,0.0,0.0,1.0
3877.0,44.0,13.18,2.0,5.67,91784.0,302.0,0.0,0.0,0.0,1.0
4220.0,84.0,28.86,2.0,5.46,90066.0,292.0,0.0,0.0,0.0,0.0
3438.0,79.0,28.18,2.0,5.65,94304.0,293.0,0.0,0.0,1.0,1.0
640.0,87.0,31.59,3.0,5.5,92646.0,291.0,1.0,0.0,0.0,1.0
4961.0,73.0,28.86,3.0,6.52,91604.0,305.0,0.0,0.0,0.0,1.0
2204.0,68.0,23.41,1.0,7.54,91320.0,293.0,0.0,0.0,0.0,0.0
3293.0,23.0,6.36,1.0,5.1,95616.0,292.0,0.0,0.0,1.0,0.0
2260.0,25.0,5.68,1.0,6.54,90401.0,294.0,0.0,0.0,0.0,1.0
4291.0,98.0,34.32,3.0,6.81,94596.0,290.0,0.0,0.0,0.0,1.0
1634.0,91.0,31.59,2.0,5.94,92121.0,290.0,0.0,0.0,0.0,0.0
517.0,72.0,25.45,2.0,6.52,90009.0,298.0,0.0,0.0,0.0,0.0
482.0,40.0,11.82,1.0,5.94,94063.0,296.0,1.0,0.0,0.0,0.0
2984.0,80.0,27.5,1.0,6.71,95054.0,291.0,1.0,0.0,0.0,1.0
781.0,37.0,11.14,1.0,5.71,92634.0,294.0,1.0,0.0,0.0,1.0
2878.0,80.0,28.86,3.0,6.38,95817.0,301.0,1.0,0.0,0.0,0.0
544.0,91.0,32.27,1.0,5.96,94704.0,302.0,1.0,0.0,0.0,0.0
1972.0,54.0,17.95,2.0,6.33,95616.0,295.0,1.0,0.0,0.0,0.0
1700.0,68.0,24.09,3.0,5.15,94720.0,293.0,1.0,0.0,0.0,0.0
2026.0,60.0,21.36,2.0,6.48,94720.0,300.0,0.0,0.0,1.0,0.0
4623.0,60.0,21.36,2.0,5.1,94545.0,293.0,0.0,0.0,0.0,1.0
1310.0,49.0,15.23,3.0,6.31,95136.0,300.0,0.0,0.0,0.0,0.0
3724.0,72.0,24.09,2.0,5.77,94022.0,298.0,0.0,0.0,0.0,1.0
4285.0,47.0,15.23,1.0,8.44,94305.0,306.0,0.0,0.0,0.0,0.0
1626.0,77.0,27.5,2.0,5.27,94542.0,293.0,0.0,0.0,0.0,1.0
1177.0,30.0,9.09,1.0,6.98,90049.0,307.0,0.0,0.0,0.0,1.0
3576.0,91.0,32.27,2.0,5.15,94305.0,293.0,0.0,0.0,0.0,0.0
4742.0,80.0,28.86,1.0,5.98,93106.0,302.0,0.0,0.0,0.0,1.0
3389.0,61.0,20.0,1.0,7.23,91320.0,306.0,0.0,0.0,0.0,1.0
4245.0,70.0,24.09,2.0,5.98,92121.0,300.0,0.0,0.0,0.0,1.0
399.0,77.0,26.14,1.0,5.31,94608.0,292.0,0.0,0.0,0.0,0.0
1209.0,70.0,23.41,2.0,5.83,91711.0,298.0,1.0,0.0,0.0,0.0
2378.0,65.0,21.36,1.0,8.17,92037.0,323.0,0.0,0.0,0.0,0.0
1298.0,86.0,30.91,2.0,6.71,95814.0,299.0,0.0,0.0,0.0,1.0
867.0,60.0,19.32,1.0,6.29,94611.0,299.0,0.0,0.0,0.0,1.0
3677.0,89.0,31.59,2.0,5.29,95818.0,297.0,0.0,0.0,0.0,1.0
1818.0,44.0,13.86,3.0,5.02,94604.0,291.0,1.0,0.0,0.0,0.0
3133.0,37.0,11.14,1.0,6.56,94302.0,302.0,0.0,0.0,1.0,1.0
1138.0,70.0,24.09,3.0,7.62,90230.0,312.0,0.0,1.0,1.0,1.0
2770.0,40.0,11.82,3.0,8.65,91320.0,334.0,0.0,0.0,0.0,1.0
3954.0,70.0,23.41,3.0,5.92,93555.0,290.0,0.0,0.0,0.0,0.0
352.0,32.0,8.41,2.0,8.06,92182.0,316.0,0.0,0.0,0.0,1.0
1684.0,75.0,26.82,3.0,5.52,92660.0,292.0,0.0,0.0,0.0,0.0
464.0,63.0,22.05,2.0,7.94,94928.0,317.0,0.0,1.0,1.0,1.0
1122.0,35.0,9.77,2.0,5.85,91330.0,293.0,1.0,0.0,0.0,0.0
860.0,89.0,32.27,2.0,7.42,92182.0,315.0,0.0,0.0,0.0,0.0
3786.0,73.0,26.14,1.0,6.56,95841.0,302.0,0.0,0.0,0.0,1.0
2121.0,54.0,17.27,3.0,5.75,93106.0,291.0,0.0,0.0,0.0,1.0
